# name: hyades
# source: Hipparcos / Tycho / Tim Erickson
# importDate: 4/7/2024&comma; 7:03 AM
# description: Data on the region of sky in which the Hyades star cluster appears.
# attribute -- name: V, description: apparent visual magnitude. Remember: smaller is brighter!, editable: true
# attribute -- name: RA, description: right ascension (celestial longitude&comma; east-west), unit: degrees, editable: true
# attribute -- name: DEC, description: declination (celestial latitude&comma; north-south), unit: degrees, editable: true
# attribute -- name: parallax, description: annual "wiggle", unit: milliarcseconds, editable: true
# attribute -- name: PM_RA, description: proper motion (systematic speed on the sky) in right ascension (east-west), unit: milliarcsec/year, editable: true
# attribute -- name: PM_DEC, description: proper motion (systematic speed on the sky) in declination (north-south), unit: milliarcsec/year, editable: true
# attribute -- name: B_V, description: Color index B–V. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: V_I, description: Color index V–I. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: cluster, editable: true
V,RA,DEC,parallax,PM_RA,PM_DEC,B_V,V_I,cluster
9.48,66.9457,14.4178,17.29,101.43,-20,0.929,0.97,Hyades
8.26,66.962,10.0209,7.67,3.72,-8.31,0.442,0.51,Hyades
10.28,66.9648,10.0144,4.76,-32,-22.12,0.511,0.58,Hyades
10.5,66.9651,10.2915,3.26,3.69,-6.01,0.609,0.68,Hyades
9.61,66.9962,12.0678,4.35,-9.82,-16.17,0.677,0.74,Hyades
7.46,67.0124,10.0722,9.35,-19.6,-19.27,0.22,0.24,Hyades
9.02,67.0182,13.868,21.29,106.16,-17.59,0.839,0.88,Hyades
5.9,67.0972,14.741,18.42,109.72,-21.27,0.325,0.39,Hyades
7.39,67.0986,11.6659,5.11,-12.42,-16.39,1.38,1.35,Hyades
4.96,67.1099,16.3596,16.78,8.12,17.79,1.137,1.12,Hyades
3.84,67.1435,15.9622,20.66,104.76,-15.01,0.952,1.02,Hyades
3.53,67.1539,19.1805,21.04,107.23,-36.77,1.014,1.04,Hyades
8.62,67.1548,19.7408,20.09,99.83,-39.82,0.741,0.79,Hyades
3.4,67.1653,15.8709,21.89,108.66,-26.39,0.179,0.21,Hyades
7.74,67.1757,20.6775,3.81,4.69,-6.99,0.12,0.13,Hyades
7.98,67.1961,14.8195,4.67,-6.54,-0.39,0.295,0.34,Hyades
7.83,67.201,17.2855,21.09,105.58,-30.05,0.609,0.66,Hyades
5.02,67.2088,13.0476,20.33,105.17,-15.08,0.215,0.22,Hyades
6.59,67.2488,16.1592,20.58,90.28,-25.47,0.536,0.59,Hyades
7.02,67.3354,17.545,23.25,104.88,-31.65,0.526,0.6,Hyades
10.56,67.3485,9.53593,6.32,7.73,-22.33,0.912,0.91,Hyades
6.9,67.3762,17.8632,21.59,105.72,-32.56,0.451,0.54,Hyades
8.95,67.3814,17.8933,24.19,107,-33.31,0.831,0.86,Hyades
7.72,67.3858,13.8947,7.68,176.16,-15.25,1.216,1.36,Hyades
8.33,67.4196,12.1759,7.07,5.81,-36.56,0.576,0.65,Hyades
6.77,67.4286,10.5219,4.71,0.04,2.06,0.086,0.1,Hyades
7.73,67.4505,17.6776,4.85,4.02,-8.74,0.24,0.27,Hyades
9.08,67.4903,16.6729,24.71,105.04,-28.33,0.865,0.91,Hyades
6.47,67.5096,10.2624,8.92,-25.03,-78.44,1.038,0.98,Hyades
11.03,67.5166,18.2305,-6.68,8.59,-27.42,,,Hyades
9.73,67.5333,20.8766,9.16,23.79,14.4,0.512,0.58,Hyades
5.58,67.5356,15.6379,22.93,107.59,-23.92,0.324,0.4,Hyades
7.09,67.5746,19.8406,19.94,94.9,-28.3,0.47,0.56,Hyades
9.74,67.6108,20.5479,3.52,31.78,-18.6,0.67,0.73,Hyades
4.78,67.6399,16.1941,22.54,104.98,-25.14,0.17,0.19,Hyades
5.4,67.6554,13.7245,21.84,108.06,-19.71,0.263,0.31,Hyades
5.47,67.6618,15.6919,22.55,104.17,-24.29,0.258,0.28,Hyades
6.5,67.6947,16.1488,24.28,98.2,-22.75,0.428,0.51,Hyades
7.03,67.738,10.7518,22.96,104.19,-10.52,0.472,0.54,Hyades
6.28,67.7799,15.1052,7.16,42.72,-52.75,1.725,2.17,Hyades
10.6,67.7935,18.8203,4.96,171.38,-155.99,1.1,1.18,Hyades
8.17,67.7954,14.6898,10.58,38.9,-0.49,0.502,0.57,Hyades
8.7,67.796,11.2444,14.85,42.91,2.65,0.665,0.73,Hyades
8.59,67.8151,20.1333,21.81,102.78,-41.08,0.734,0.78,Hyades
7.78,67.872,13.9035,19.46,92.6,-19.96,0.54,0.61,Hyades
9.53,67.9043,17.7099,23.41,105.81,-30.97,0.987,1.04,Hyades
10.33,67.9493,14.155,28.36,-330.66,-352,0.432,0.5,Hyades
6.01,67.9654,15.8516,22.25,107.59,-32.38,0.338,0.41,Hyades
11.02,67.9684,15.4995,15.11,100.76,-23.42,1.28,1.46,Hyades
10.58,68.0899,18.2162,6.48,-19.44,8.03,0.521,0.59,Hyades
8.87,68.0999,10.6399,2.94,-4.44,-5.37,1.251,1.21,Hyades
11,68.1066,13.1133,17.55,102.37,-18.77,1.194,1.15,Hyades
12.79,,,,,,1.293,1.48,Hyades
10.93,68.1645,12.2168,9.42,-67.09,-150.2,0.759,0.8,Hyades
8.72,68.2332,12.5846,8.96,2.36,8.63,0.855,0.87,Hyades
8.95,68.3464,19.8137,5.16,-17.58,-16.4,1,1.03,Hyades
6.24,68.3877,18.0168,7.71,12.44,-16.74,0.077,0.09,Hyades
10.69,68.4046,21.151,24.98,109.3,-45.31,1.237,1.4,Hyades
6.58,68.4087,16.3234,13.36,14.41,-16.56,0.188,0.21,Hyades
10.74,68.4244,19.0141,21.06,102.3,-34.96,1.197,1.16,Hyades
7.88,68.4435,10.5177,6.39,1.79,-9.11,0.17,0.19,Hyades
6.62,68.4441,13.2519,22.8,101.77,-17.93,0.429,0.49,Hyades
4.65,68.4619,14.8445,21.39,103.69,-25.94,0.255,0.28,Hyades
8.48,68.4937,15.1637,24.02,101.93,-33.75,0.847,0.86,Hyades
9.68,68.6081,12.735,12.62,22.2,-331.97,0.6,0.67,Hyades
7.72,68.6255,10.0166,21.36,118.55,-68.94,0.615,0.68,Hyades
9.93,68.6429,20.3249,7.21,61.57,-103.21,0.573,0.65,Hyades
7.9,68.6469,15.5047,23.19,100.66,-28.04,0.631,0.69,Hyades
8.42,68.6475,21.1058,4.25,-22.47,-44.83,1.08,1.04,Hyades
7.91,68.6757,17.7483,9.87,67.96,-33.24,0.411,0.48,Hyades
12.09,68.6805,15.2651,6.01,17.46,1.7,,,Hyades
8.55,68.6817,11.4994,7.55,30.49,0.87,0.439,0.51,Hyades
