# name: golden gate tides and weather
# source: https://tidesandcurrents.noaa.gov/
# importDate: 4/9/2024&comma; 10:50 AM
# description: July 2023 tides at the Golden Gate in San Francisco&comma; CA&comma; USA.&NewLine;&NewLine;We also added some weather data&comma; which lets you ask other interesting questions.
# attribute -- name: when, type: date, editable: true
# attribute -- name: Predicted, description: predicted height of the water, unit: ft, editable: true
# attribute -- name: Verified, description: Acutal&comma; verified water height, unit: ft, precision: 4, editable: true
# attribute -- name: Time, description: Local time (Pacific daylight&comma; GMT – 7), editable: true
# attribute -- name: Wind Speed, unit: kt, editable: true
# attribute -- name: Wind Dir, description: North is 0&comma; FROM the west is 270., unit: deg, editable: true
# attribute -- name: Wind Gust, unit: kt, editable: true
# attribute -- name: Air Temp, unit: °F, editable: true
# attribute -- name: Baro, description: Barometric pressure. Standard at sea level is 1013., unit: mb, editable: true
when,Predicted,Verified,Time,Wind Speed,Wind Dir,Wind Gust,Air Temp,Baro
"7/9/2023, 9:00 AM",1.391,1.46,09:00,10.3,256,13.61,52.5,1014.7
"7/9/2023, 10:00 AM",0.697,0.79,10:00,5.83,259,11.27,54,1015
"7/9/2023, 11:00 AM",0.496,0.64,11:00,7.97,250,14.97,54.9,1015.2
"7/9/2023, 12:00 PM",0.806,1.06,12:00,8.36,239,15.55,55,1015.3
"7/9/2023, 1:00 PM",1.562,1.8,13:00,11.66,235,20.02,56.3,1015.4
"7/9/2023, 2:00 PM",2.62,2.81,14:00,10.11,228,17.88,56.1,1015.5
"7/9/2023, 3:00 PM",3.774,3.99,15:00,8.75,245,18.27,56.5,1015.6
"7/9/2023, 4:00 PM",4.825,4.99,16:00,9.33,229,17.88,57.4,1015.4
"7/9/2023, 5:00 PM",5.588,5.77,17:00,7.78,262,18.08,57.6,1015.3
"7/9/2023, 6:00 PM",5.867,5.94,18:00,3.69,207,9.33,57.4,1015.4
"7/9/2023, 7:00 PM",5.566,5.73,19:00,8.55,234,14.58,57,1015.2
"7/9/2023, 8:00 PM",4.764,4.93,20:00,8.55,232,14.97,56.7,1015.1
"7/9/2023, 9:00 PM",3.687,3.88,21:00,6.41,232,12.44,55.8,1015
"7/9/2023, 10:00 PM",2.63,2.72,22:00,5.44,200,11.66,54.9,1015.3
"7/9/2023, 11:00 PM",1.852,1.95,23:00,6.8,231,17.49,54.7,1015.3
"7/10/2023, 12:00 AM",1.478,1.6,00:00,7.58,232,13.61,54.7,1015.2
"7/10/2023, 1:00 AM",1.53,1.68,01:00,9.33,249,14.19,54.7,1015
"7/10/2023, 2:00 AM",1.947,2.1,02:00,6.41,260,14,54.5,1014.6
"7/10/2023, 3:00 AM",2.577,2.71,03:00,10.11,257,14.97,54.3,1014.6
"7/10/2023, 4:00 AM",3.244,3.42,04:00,8.55,260,13.8,53.2,1014.4
"7/10/2023, 5:00 AM",3.8,3.96,05:00,6.61,251,10.11,53.1,1014.6
"7/10/2023, 6:00 AM",4.083,4.25,06:00,3.11,234,7.58,53.1,1015
"7/10/2023, 7:00 AM",3.964,4.1,07:00,3.5,238,6.61,52.7,1015.3
"7/10/2023, 8:00 AM",3.447,3.64,08:00,3.11,215,7.97,52.5,1015.5
"7/10/2023, 9:00 AM",2.68,2.83,09:00,3.89,211,8.55,53.2,1015.9
"7/10/2023, 10:00 AM",1.908,2.02,10:00,3.11,252,6.41,53.4,1015.9
"7/10/2023, 11:00 AM",1.387,1.52,11:00,5.64,247,8.16,55,1015.9
"7/10/2023, 12:00 PM",1.274,1.44,12:00,6.61,248,14.19,55.2,1015.9
"7/10/2023, 1:00 PM",1.607,1.96,13:00,8.36,256,12.25,55.4,1015.6
"7/10/2023, 2:00 PM",2.342,2.55,14:00,9.72,237,13.8,56.3,1015.2
"7/10/2023, 3:00 PM",3.337,3.49,15:00,14.58,234,20.02,57,1014.6
"7/10/2023, 4:00 PM",4.388,4.57,16:00,14.38,237,20.8,57,1014.3
"7/10/2023, 5:00 PM",5.313,5.43,17:00,12.83,232,19.83,56.8,1013.9
"7/10/2023, 6:00 PM",5.934,6.09,18:00,15.36,234,23.91,55.2,1013.5
"7/10/2023, 7:00 PM",6.068,6.18,19:00,13.61,229,20.8,53.8,1013.4
"7/10/2023, 8:00 PM",5.631,5.81,20:00,14,227,18.47,52.7,1013.3
"7/10/2023, 9:00 PM",4.702,4.93,21:00,3.5,194,14.77,52.3,1013.5
"7/10/2023, 10:00 PM",3.499,3.71,22:00,4.47,216,9.72,54,1013.8
"7/10/2023, 11:00 PM",2.319,2.49,23:00,5.83,196,9.91,54.1,1014
"7/11/2023, 12:00 AM",1.421,1.58,00:00,4.86,218,10.69,54,1014
"7/11/2023, 1:00 AM",0.941,1.13,01:00,4.86,238,8.36,53.6,1013.9
"7/11/2023, 2:00 AM",0.912,1.12,02:00,3.69,226,7.58,53.8,1013.8
"7/11/2023, 3:00 AM",1.277,1.59,03:00,3.69,235,7,53.8,1013.6
"7/11/2023, 4:00 AM",1.885,2.11,04:00,6.03,208,7.97,53.6,1013.6
"7/11/2023, 5:00 AM",2.588,2.81,05:00,5.44,241,8.36,53.2,1013.6
"7/11/2023, 6:00 AM",3.256,3.54,06:00,4.28,241,7,53.4,1014.1
"7/11/2023, 7:00 AM",3.728,3.97,07:00,6.61,240,9.72,53.2,1014.7
"7/11/2023, 8:00 AM",3.856,4.14,08:00,5.25,248,9.91,53.4,1014.8
"7/11/2023, 9:00 AM",3.605,3.9,09:00,6.22,211,9.72,54.3,1015.2
"7/11/2023, 10:00 AM",3.076,3.47,10:00,5.64,226,13.8,55.8,1015.4
"7/11/2023, 11:00 AM",2.48,2.83,11:00,6.22,252,14.58,56.7,1015.6
